 区站号 站名              经度    纬度     台站高度
56977 江城                  101.82   22.62  759.00
56985 蒙自                  103.38   23.38  730.00
56989 河口                  103.95   22.50  148.00
56994 文山                  104.25   23.38  842.00
57002 秦安                  105.67   34.87  608.00
57004 武山                  104.88   34.73  974.00
57006 天水                  105.75   34.58  871.00
57007 礼县                  105.18   34.18  867.00
57012 张家川                106.20   34.98  450.00
57016 宝鸡                  107.13   34.35  987.00
57025 凤翔                  107.38   34.51  208.00
57030 永寿                  108.15   34.70  297.00
57033 泾阳                  108.82   34.55 1036.00
57034 武功                  108.22   34.25 1496.00
57039 长安县                108.92   34.15 1076.00
57043 大荔                  109.91   34.88  865.00
57044 临潼                  109.23   34.40  304.00
57045 渭南                  109.46   34.50  649.00
57048 咸阳                  108.71   34.40  995.00
57053 芮城                  110.71   34.70  204.00
57067 卢氏                  111.03   34.05 1386.00
57071 孟津                  112.43   34.83  237.00
57075 汝州                  112.83   34.18 1008.00
57083 郑州                  113.65   34.72  957.00
57089 许昌                  113.85   34.01 1072.00
57096 杞县                  114.78   34.53 1379.00
57102 成县                  105.71   33.75  863.00
57105 康县                  105.60   33.33  518.00
57111 两当                  106.30   33.92  367.00
57113 凤县                  106.60   33.97 1457.00
57127 汉中                  107.03   33.07  217.00
57128 城固                  107.33   33.16  269.00
57143 商州                  109.96   33.86  575.00
57154 商南                  110.90   33.53   85.00
57169 内乡                  111.86   33.05  361.00
57178 南阳                  112.58   33.03  958.00
57193 西华                  114.52   33.78 1155.00
57206 广元                  105.85   32.43 1182.00
57233 汉阴                  108.50   32.90 1404.00
57245 安康                  109.03   32.72 1105.00
57249 竹溪                  109.68   32.32 1112.00
57251 郧西                  110.42   35.10  647.00
57259 房县                  110.77   32.03  484.00
57268 谷城                  111.63   32.27  212.00
57277 襄阳驿                112.23   32.40   62.00
57290 驻马店                114.02   33.00 1361.00
57297 信阳                  114.05   32.13  405.00
57303 苍溪                  105.92   31.73  428.00
57307 三台                  105.08   31.10 1284.00
57313 巴中                  106.76   31.85 1253.00
57314 南部                  106.05   31.33  601.00
57318 营山                  106.55   31.07 1403.00
57326 宣汉                  107.72   31.37  406.00
57328 达县                  107.50   31.20  568.00
57370 宜城                  112.23   31.72  315.00
57378 钟祥                  112.57   31.17  320.00
57381 随州                  113.38   31.72  637.00
57395 大悟                  114.12   31.57  573.00
57399 麻城                  114.97   31.18  417.00
57405 遂宁                  105.55   30.50  896.00
57407 乐至                  105.03   30.28 1328.00
57408 安岳                  105.33   30.11 1152.00
57411 南充                  106.08   30.80  269.00
57415 广安                  106.63   30.47   53.00
57420 大竹                  107.25   30.80 1291.00
57432 万州                  108.40   30.76  379.00
57439 利川                  108.93   30.28  655.00
57445 建始                  109.63   30.60 1490.00
57461 宜昌                  111.30   30.70 1201.00
57476 江陵                  112.18   30.33 1082.00
57481 应城                  113.57   30.95   62.00
57482 孝感                  113.85   30.93  994.00
57483 天门                  113.17   30.67 1123.00
57493 武昌                  114.33   30.40  695.00
57494 武汉                  114.13   30.62  256.00
57503 内江县                105.12   29.62  920.00
57504 内江                  105.05   29.58 1205.00
57507 隆昌                  105.30   29.33  476.00
57508 泸县                  105.45   28.98  296.00
57512 合川                  106.28   29.97  668.00
57516 沙平坝                106.48   29.52  411.00
57517 江津                  106.25   29.31 1100.00
57523 丰都                  107.70   29.88  835.00
57545 来凤                  109.42   29.52 1380.00
57554 桑植                  110.17   29.40 1244.00
57565 澧县                  111.88   29.61 1472.00
57574 南县                  112.40   29.36  274.00
57581 洪湖                  113.45   29.82 1449.00
57582 赤壁                  113.88   29.72 1120.00
57584 岳阳                  113.08   29.38  775.00
57590 咸宁                  114.33   29.83  417.00
57598 修水                  114.58   29.03 1498.00
57609 赤水                  105.70   28.58 1093.00
57625 正安                  107.45   28.55  430.00
57633 酉阳                  108.77   28.83  236.00
57646 古丈                  109.76   28.56 1244.00
57662 常德                  111.68   29.05 1496.00
57674 赫山（益阳）          112.10   28.56 1117.00
57679 长沙                  113.08   28.20  835.00
57682 平江                  113.58   28.70  843.00
57696 宜丰                  114.78   28.41 1133.00
57717 遵义县                106.81   27.53  384.00
57729 余庆                  107.88   27.23  660.00
57731 思南                  108.25   27.95  520.00
57735 岑巩                  108.72   27.23  368.00
57736 江口                  108.85   27.70 1080.00
57737 施秉                  108.12   27.03 1443.00
57741 铜仁                  109.18   27.72 1372.00
57745 芷江                  109.68   27.45 1120.00
57746 怀化                  109.96   27.55  338.00
57763 娄底                  112.00   27.73  941.00
57766 邵阳                  111.47   27.23  906.00
57769 邵东                  111.73   27.23  393.00
57772 湘乡                  112.50   27.75  782.00
57781 醴陵                  113.50   27.65 1204.00
57789 莲花                  113.93   27.13 1452.00
57793 宜春                  114.38   27.80  738.00
57799 吉安                  114.92   27.05  721.00
57806 安顺                  105.92   26.25  528.00
57808 普定                  105.75   26.31 1126.00
57816 贵阳                  106.72   26.58  779.00
57829 丹寨                  107.80   26.20 1302.00
57839 黎平                  109.15   26.23 1171.00
57841 靖州                  109.48   26.66  820.00
57853 武冈                  110.63   26.73  301.00
57865 冷水滩（零陵）        111.56   26.41  580.00
57872 衡阳                  112.60   26.90  892.00
57882 茶陵                  113.55   26.78  448.00
57883 宁冈                  113.97   26.72  291.00
57889 桂东                  113.93   26.00  960.00
57899 泰和                  114.91   26.80  179.00
57912 惠水                  106.66   26.16 1157.00
57916 罗甸                  106.77   25.43  791.00
57926 荔波                  107.88   25.41 1138.00
57947 融安                  109.40   25.21  596.00
57955 兴安                  110.65   25.63  560.00
57957 桂林                  110.30   25.33  620.00
57978 临武                  112.55   25.28  383.00
57981 资兴                  113.40   25.97  463.00
57992 南康                  114.70   25.68 1254.00
57993 赣州                  114.95   25.85  437.00
